Month,Operacion,Clase,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,lbs,Costo_Tot_Manufactura
2.0,1,2,5,134,125.0,171.92,1128.75,1,21490.05,130.43,19.04,275.5625,16303.35
2.0,1,2,5,221,136.0,220.66,1576.24,1,30009.72,99.62,19.04,299.812,13548.59
2.0,1,2,5,133,50.0,180.3,473.5,1,9014.87,104.03,19.04,110.225,5201.53
2.0,1,2,6,163,678.0,330.32,11763.3,1,223959.12,189.3,19.04,1494.651,128344.45
2.0,1,2,65,107,25.0,146.03,191.75,1,3650.69,87.22,19.04,55.1125,2180.38
2.0,1,2,103,130,200.0,116.9,1228.0,1,23379.64,67.54,19.04,440.9,13508.66
2.0,1,2,65,54,100.0,95.19,500.0,1,9519.4,56.49,19.04,220.45,5648.69
2.0,1,2,65,118,50.0,364.21,956.5,1,18210.61,227.73,19.04,110.225,11386.72
2.0,1,2,65,118,50.0,364.21,956.5,1,18210.61,227.73,19.04,110.225,11386.72
2.0,1,2,103,107,200.0,114.8,1206.0,1,22960.8,92.03,19.04,440.9,18406.96
2.0,1,2,65,118,50.0,387.06,1016.5,1,19352.94,220.72,19.04,110.225,11036.2
2.0,1,2,65,54,100.0,95.19,500.0,1,9519.4,56.49,19.04,220.45,5648.69
2.0,1,2,12,107,25.0,154.4,202.75,1,3860.12,85.24,19.04,55.1125,2130.9
2.0,1,2,103,130,400.0,116.9,2456.0,1,46759.28,67.54,19.04,881.8,27017.32
2.0,1,2,103,130,500.0,116.9,3070.0,1,58449.1,67.54,19.04,1102.25,33771.65
2.0,1,2,103,127,600.0,44.17,1392.0,1,26502.0,33.99,19.04,1322.7,20396.64
2.0,1,2,12,107,25.0,154.4,202.75,1,3860.12,85.24,19.04,55.1125,2130.9
2.0,1,2,6,127,600.0,43.38,1362.0,1,26027.52,33.99,19.11,1322.7,20396.64
2.0,1,2,95,118,300.0,270.0,81000.0,0,81000.0,251.51,19.11,661.35,75453.3
2.0,1,2,95,118,200.0,270.0,54000.0,0,54000.0,251.51,19.11,440.9,50302.2
