Month,Fecha,Operacion,Clase,No_Factura,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Moneda_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,Conversion_Ganancia_en_Dolares,lbs,Costo_Tot_Manufactura,Mes
1.0,01/04/2019,Cancelacion,NAC,1568,Cliente 67,Producto 133,0.0,113.72,11600.0, USD ,227444.59,MXP,76.83,19.61,11600.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1567,Cliente 6,Producto 158,0.0,203.52,259.5, USD ,5088.1,MXP,168.93,19.61,259.5,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1567,Cliente 6,Producto 158,0.0,203.52,259.5, USD ,5088.1,MXP,168.93,19.61,259.5,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1567,Cliente 6,Producto 160,0.0,122.74,1565.0, USD ,30685.43,MXP,68.89,19.61,1565.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1572,Cliente 6,Producto 71,0.0,189.41,966.0, USD ,18940.65,MXP,233.61,19.61,966.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1572,Cliente 6,Producto 68,0.0,310.19,1582.0, USD ,31018.75,MXP,212.39,19.61,1582.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1561,Cliente 125,Producto 133,0.0,155.4,132090.0, MXP ,132090.0,MXP,162.96,19.61,6736.78,0.0,0.0,Enero
1.0,01/04/2019,Venta,NAC,27971,Cliente 141,Producto 105,50.0,198.03,505.0, USD ,9901.69,MXP,69.73,19.61,505.0,110.225,3486.37,Enero
1.0,01/04/2019,Cancelacion,NAC,1562,Cliente 31,Producto 220,0.0,95.29,2430.0, USD ,47645.75,MXP,0.0,19.61,2430.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1563,Cliente 123,Producto 219,0.0,77.45,37453.9, USD ,734369.5,MXP,60.04,19.61,37453.88,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1564,Cliente 67,Producto 133,0.0,113.72,2900.0, USD ,56861.15,MXP,76.83,19.61,2900.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1565,Cliente 83,Producto 173,0.0,76.08,6332.16, USD ,124156.52,MXP,59.1,19.61,6332.16,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1565,Cliente 83,Producto 173,0.0,76.08,1427.84, USD ,27996.08,MXP,59.1,19.61,1427.84,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1566,Cliente 67,Producto 133,0.0,113.72,5800.0, USD ,113722.3,MXP,0.0,19.61,5800.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1559,Cliente 6,Producto 163,0.0,340.19,2359.6, USD ,46265.39,MXP,189.3,19.61,2359.6,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1573,Cliente 95,Producto 106,0.0,112.74,11274.0, MXP ,11274.0,MXP,133.35,19.61,574.99,0.0,0.0,Enero
1.0,01/04/2019,Venta,NAC,27969,Cliente 130,Producto 220,300.0,77.28,23184.0, MXP ,23184.0,MXP,53.34,19.61,1182.42,661.35,16000.77,Enero
