Producto,KG,Precio_Unit_Venta,Ganancia_USD,Ganancia_MXN,Costo_Unit_Manufactura,lbs,Costo_Tot_Manufactura,pca1,pca2,cluster
102,48872.0,34590.38000000001,4122544.46,8621597.659999998,24107.94999999997,107738.3236,5708798.349999997,3.6330952070672704,-2.393298809861158,3
103,169.0,561.8399999999999,1233.7,23736.08,433.76,372.56050000000005,18326.59,-0.7455902139134363,0.13047533155556243,0
104,1375.0,1.9,2612.5,2612.5,35.4,3031.1875,48670.88,-0.7590265376278124,0.18809362771008298,0
105,1475.0,1603.1299999999997,7984.0,155198.98,906.4900000000001,3251.6375,102847.93000000001,-0.6702245613690485,0.08432471183343049,0
107,207735.0,133083.32999999987,7157165.78,31637789.109999973,83608.95999999973,457951.8076999988,21859359.32999999,13.782494994670898,-7.144065228968261,1
108,9000.0,917.94,85680.0,1654657.9800000002,496.5400000000001,19840.5,895371.4199999999,-0.42448455756054154,0.2628417860831221,0
109,725.0,3872.2500000000005,13195.0,256382.62,3107.8,1598.2625,205393.8,-0.5245611053207987,-0.12706361825053444,0
110,7522.0,9348.519999999999,116563.4,1106791.0099999995,7419.220000000003,16582.249,886814.3300000001,-0.011881524444789801,-0.4735068126907207,0
111,8400.0,2298.3500000000004,222265.0,576673.47,2012.1200000000006,18517.800000000003,497128.8000000001,-0.4187962682762431,0.05396190490680262,0
112,77343.0,27853.50000000002,1213790.0499999998,7258796.51,14629.21999999999,170502.6435000001,4531456.620000002,2.49021487872829,-0.747773303074673,3
113,1000.0,55.72,2920.0,55715.1,81.93,2204.5,81926.6,-0.753114485469572,0.18161403558359063,0
114,2424.0,6432.080000000001,22756.11,438271.11,5112.829999999999,5343.708000000003,360012.0299999999,-0.34123581813681986,-0.3079962293074785,0
115,150.0,135.24,1050.0,20286.11,122.66,330.675,18399.17,-0.7678103594060537,0.16365566592127062,0
116,1121.0,12425.55,26983.14,517048.27999999997,6491.27,2471.2445000000002,335455.11,-0.15401514401881736,-0.6253841538514558,0
117,80575.0,10601.150000000007,1397228.25,6311115.820000001,7862.929999999987,177627.5875000002,5206008.070000005,1.9050415481884726,0.29072092271000033,3
118,21001.0,62238.28000000001,954717.8000000002,6228919.439999999,42831.12000000002,46296.70449999997,4859808.199999996,3.6564433927999507,-4.196293386173556,3
119,200.0,1316.2500000000002,2716.0,52262.310000000005,828.5500000000001,440.90000000000003,33141.990000000005,-0.7086942167817873,0.08127942479711901,0
120,100.0,546.96,2842.0,54696.0,488.29,220.45,48828.97,-0.7392428189323912,0.12879391597678883,0
121,15371.0,11003.08,114432.69,2137235.2899999996,6928.7099999999955,33885.3695,1349577.56,0.20811305394608426,-0.38074283101024414,0
122,725.0,543.7700000000001,5170.0,99019.36,474.24,1598.2625,85954.99,-0.7259922909498722,0.1386945883926617,0
123,300.0,937.88,21481.5,39453.020000000004,717.1899999999999,661.35,29966.019999999997,-0.7174182951025759,0.0984739945535335,0
124,1100.0,1327.49,15235.0,291730.86,1032.85,2424.95,227227.11,-0.6532371834916811,0.08987570328825545,0
125,18343.0,42856.37,1841119.5899999999,3950544.529999998,34606.04000000003,40437.143499999984,3422407.1699999976,2.783124402674369,-3.332225117471533,3
126,80590.0,42741.24999999999,1377940.18,11522028.239999998,36878.660000000054,177660.65510000006,10261085.779999997,4.586187144389935,-2.2129940604995273,3
127,68033.0,17710.59999999999,467796.30000000005,3563037.87,10190.439999999966,149978.7484000001,2763961.409999998,1.373825571683579,-0.20836940088532382,3
128,75.0,316.83,624.75,11868.74,369.87,165.33749999999998,13973.119999999999,-0.7562953095356875,0.1419152047591064,0
129,200.0,212.86,2198.0,42572.62,117.16,440.9,23431.02,-0.7633032961492527,0.16197446370547292,0
130,134329.0,49288.119999999966,3027155.97,34662550.35000001,23751.05999999999,296128.27959999995,13231700.509999996,7.089887046452962,-0.9461792167603046,3
131,464625.0,4337.869999999999,1057271.25,20362680.49,3209.1599999999985,1024265.8092999997,16205928.269999998,7.599213002503999,5.923333580793116,3
132,230.0,261.0,20010.0,20010.0,317.37,507.035,24332.160000000003,-0.7514936581537409,0.14517749263241755,0
133,173795.0,78975.30000000005,17583173.2,30623640.990000006,48693.25000000006,383131.0783999996,15368124.350000007,12.73643464503781,-6.080168324868151,1
134,32832.0,37193.28999999997,942386.2,5004597.069999999,27994.130000000037,72378.14400000004,3703157.749999996,2.4308341499324593,-2.3648342778227716,3
135,1647.0,7862.81,17989.22,347267.93,3265.7200000000007,3630.8114999999993,153980.19999999998,-0.4088079011035124,-0.2771499304023102,0
136,2225.0,8228.109999999999,23163.25,447455.61999999994,3079.4400000000014,4905.012500000001,179706.32999999993,-0.3899320630204743,-0.2721705507182849,0
137,3325.0,8522.519999999999,33091.5,638993.3300000001,5438.459999999996,7329.9625,426892.16,-0.24595422656086502,-0.3902657068286149,0
138,1000.0,253.32,6590.0,126660.5,219.66,2204.5,109834.4,-0.7348761507533415,0.16819221869514306,0
139,2789.0,3966.820000000002,582287.4199999999,582287.4199999999,3904.190000000001,6148.3505000000005,569936.54,-0.27102225843930877,-0.25082099695981924,0
140,122853.0,84820.02000000003,2259654.35,21451897.250000004,63239.69999999981,270829.43859999976,16563099.549999995,8.527582855223338,-4.5210643425247135,1
141,4000.0,8072.329999999999,38337.0,739810.7299999999,9084.379999999994,8818.000000000002,865029.6800000002,-0.06656824735332428,-0.5488717264785822,0
142,2093.0,2482.6400000000003,14663.869999999999,282975.31000000006,2181.7200000000003,4614.0185,263829.36999999994,-0.5698062903707745,-0.004892520168235504,0
143,6099.0,11186.310000000001,51275.43,932745.1600000001,7523.539999999995,13445.245500000003,799521.3199999996,-0.014647724046159454,-0.5573632318042583,0
144,1049.0,6730.1600000000035,12434.82,239763.41,5569.050000000003,2312.5204999999996,209346.14,-0.36265950556141285,-0.3682633094325383,0
145,10000.0,457.36,38550.0,745596.99,476.7,22045.0,821538.5,-0.5055102742625135,0.28388722553398243,0
146,1000.0,147.9,7680.0,147899.91,73.27,2204.5,73272.2,-0.7446853005777702,0.17876884913081298,0
149,7677.0,4757.079999999997,851804.49,851804.49,3000.5400000000022,16923.946500000005,535721.0300000001,-0.15018163854940048,-0.22940793686161753,0
150,200.0,212.52,2200.0,42504.22,182.1,440.9,36419.58,-0.7596832206978749,0.15895404016661893,0
151,75.0,443.65999999999997,570.0,11091.48,184.06,165.33749999999998,4601.34,-0.7608984334416863,0.14711395433248867,0
152,1725.0,475.35,6166.25,119500.95999999998,226.20000000000002,3802.7625000000003,32799.0,-0.7296544973776188,0.1640590226286538,0
153,280.0,733.1999999999998,20529.6,20529.6,956.9499999999999,617.26,34124.05,-0.715064475040571,0.09259742152098789,0
154,3873.0,3692.6699999999996,61696.89,1188401.37,1298.46,8538.028499999999,418698.87999999995,-0.4658053389991421,0.031436227998772166,0
155,6600.0,5210.649999999997,64636.5,1245578.3399999999,3494.0299999999993,14549.7,823059.24,-0.27559496119032384,-0.0986196814718904,0
156,225.0,1762.02,4083.25,78491.12,1247.0,496.01250000000005,56312.200000000004,-0.6779465421921147,0.04264707069148394,0
157,125.0,472.23,1515.5,29021.88,229.48,275.5625,14342.07,-0.7556288243094849,0.14461324432932116,0
158,1475.0,8811.119999999999,19274.0,370805.85,6746.900000000003,3251.6375,292295.0799999998,-0.2457242538237465,-0.5028675439920681,0
159,1975.0,10158.080000000002,26902.75,519549.3900000001,9028.460000000005,4353.887500000001,481433.0500000001,-0.0942163598325446,-0.6657899496919236,0
160,12250.0,8526.259999999998,79001.25,1521977.4499999993,4661.820000000008,27005.125000000004,853238.9999999997,-0.06679820853618303,-0.2218277580609226,0
161,75.0,58.27,228.75,4370.45,31.17,165.3375,2338.07,-0.7766612802846395,0.16998317566053575,0
162,350.0,2112.96,9670.5,184590.02000000002,1571.3100000000002,771.575,294776.73,-0.6242770192024544,0.02435939943582682,0
163,18020.0,14714.499999999996,312646.99999999994,6013185.8599999985,8329.200000000004,39725.09000000002,3411160.83,0.8891647686270405,-0.45051881217097195,0
164,357.0,1453.29,9255.880000000001,177286.96000000002,1029.4499999999998,787.0065,122504.79999999999,-0.6776088904526135,0.07149971616687052,0
165,25.0,387.1,503.25,9677.6,148.68,55.1125,3716.95,-0.7642990905261363,0.15060243906850168,0
166,120.0,0.0,0.0,0.0,258.79,264.54,31054.97,-0.7668878182977681,0.16124821405167697,0
167,200.0,1125.5,1664.5,32299.520000000004,1015.2699999999999,440.9,43618.68,-0.7071779708608142,0.07836785831719185,0
168,5349.0,5165.919999999996,581678.54,610388.78,2787.7300000000005,11791.870499999999,317280.24999999994,-0.27797529655110703,-0.21565369540018037,0
169,200.0,302.42,3170.0,60483.6,203.74,440.9,40747.48,-0.7548236757198296,0.15466468576251552,0
170,12418.0,10813.570000000003,232464.95999999996,4474606.79,7600.799999999997,27375.481000000003,3146195.899999999,0.5587295274814613,-0.34735776594244083,0
171,500.0,637.1999999999999,4100.0,79172.54000000001,392.8,1102.25,49100.05,-0.7342607554206779,0.13540341306553016,0
172,3584.0,4264.360000000001,44154.880000000005,850959.3400000001,3523.5,7900.927999999999,701566.55,-0.37322115037927334,-0.10655434719889995,0
173,102100.0,5580.780000000001,400655.5,7699947.919999998,4012.439999999996,225079.44989999998,5832903.78,1.7752061563825954,1.2011503830709935,3
174,4617.0,1405.48,161647.82,460480.15,1103.1999999999998,10178.176400000002,395333.11000000004,-0.5468458696440592,0.10200120295835825,0
175,140.0,357.44,12510.4,12510.4,397.12,308.63,14017.6,-0.7505900902659868,0.13707986570038747,0
177,95.0,401.26,991.8,19060.22,366.74,209.4275,17420.25,-0.753211006997477,0.13934864082509205,0
178,1075.0,20271.77,41417.5,798136.3699999999,10947.460000000006,2369.837499999999,435703.35000000015,0.2318963618536588,-1.1633187759266437,0
179,1600.0,11837.71,33258.0,640795.74,4687.320000000002,3527.200000000001,259007.5100000001,-0.2264294376990509,-0.4998349259929254,0
180,200.0,1220.73,4254.0,80744.65,756.37,440.9,50409.02,-0.7096714081074874,0.08984908479785705,0
181,525.0,2162.52,8505.0,162059.06000000003,1338.9799999999998,1157.3625,100577.55,-0.650549849124836,0.028353170168962678,0
182,300.0,277.91999999999996,2190.0,41688.08,113.37,661.35,17005.699999999997,-0.7614733845480258,0.16055982879407524,0
183,50.0,270.62,712.5,13530.95,101.03,110.225,5051.73,-0.7681805523829376,0.1580016365941523,0
184,1073.0,6469.12,17823.3,342535.12999999995,4454.300000000001,2365.4284999999995,239128.84,-0.3980649059576378,-0.29389538263145465,0
185,100.0,502.89,1300.0,24972.539999999997,94.74,220.45,4737.35,-0.7612919456319687,0.15025176191304526,0
186,125.0,283.63,922.5,17720.1,91.2,275.5625,5700.3099999999995,-0.7670242407885243,0.15896247254309914,0
187,150.0,294.81,1125.0,21934.47,121.28,330.67499999999995,9096.17,-0.7647282087072615,0.15732622239386646,0
189,6250.0,6845.570000000001,58562.5,1126299.2700000003,5398.760000000001,13778.125000000002,894923.2600000005,-0.17253645184408675,-0.2678271228832099,0
191,149.0,2479.7200000000003,3857.61,73730.42000000001,2085.85,328.4705,62157.71,-0.6305346972263953,-0.031821238763055155,0
