MONTH,Fecha de la,Ty,Clase,Invoice#, Cliente , Nombre del producto , KG , Precio uni / Venta , Foreign Amount , CurFrm , Revenue , SalesDiv , CurTo , Std RMCost , Std MfgCost , Exchange , SO Std. Cost , T.C. , Dollars , Lbs , COST PESOS , Mes ,,
1,01/04/2019,Cancelación,NAC,1569,Cliente 78,Producto 134,,6.84,-171.00 , MXP ,-171.00 ,MCO,MXP, 35.10 , 45.34 ,,75.0764, 19.61 ,-8.72 ,0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1568,Cliente 67,Producto 133,,113.7223,"-11,600.00 ", USD ,"-227,444.60 ",MCO,MXP, 63.04 , 16.68 , 19.6073 ,76.8328, 19.61 ,"-11,600.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1567,Cliente 6,Producto 158,,203.5238,-259.50 , USD ,"-5,088.10 ",MCO,MXP, 150.46 , 41.14 , 19.6073 ,168.9283, 19.61 ,-259.50 ,0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1567,Cliente 6,Producto 158,,203.5238,-259.50 , USD ,"-5,088.10 ",MCO,MXP, 150.46 , 41.14 , 19.6073 ,168.9283, 19.61 ,-259.50 ,0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1567,Cliente 6,Producto 160,,122.7417,"-1,565.00 ", USD ,"-30,685.43 ",MCO,MXP, 54.01 , 17.39 , 19.6073 ,68.888, 19.61 ,"-1,565.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1572,Cliente 6,Producto 71,,189.4065,-966.00 , USD ,"-18,940.65 ",MCO,MXP, 213.75 , 30.88 , 19.6073 ,233.6124, 19.61 ,-966.00 ,0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1572,Cliente 6,Producto 68,,310.1875,"-1,582.00 ", USD ,"-31,018.75 ",MCO,MXP, 162.00 , 61.91 , 19.6073 ,212.3883, 19.61 ,"-1,582.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1561,Cliente 125,Producto 133,,155.4,"-132,090.00 ", MXP ,"-132,090.00 ",MCO,MXP, 119.53 , 20.98 ,,162.9589, 19.61 ,"-6,736.78 ",0.0000, -   ,Enero,,
1,01/04/2019,Venta,NAC,27971,Cliente 141,Producto 105,50,198.0337, 505.00 , USD ," 9,901.69 ",MAD,MXP, 67.05 , 2.68 , 19.6073 ,69.7274, 19.61 , 505.00 ,110.2250," 3,486.37 ",Enero,,
1,01/04/2019,Cancelación,NAC,1562,Cliente 31,Producto 220,,95.2915,"-2,430.00 ", USD ,"-47,645.75 ",MWH,MXP, 51.28 , 2.05 , 19.6073 ,0, 19.61 ,"-2,430.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1563,Cliente 123,Producto 219,,77.4488,"-37,453.90 ", USD ,"-734,369.52 ",MWH,MXP, 57.73 , 2.31 , 19.6073 ,60.037, 19.61 ,"-37,453.88 ",0.0000, -   ,Enero,,
