Cliente,KG,Precio_Unit_Venta,Ganancia_USD,Ganancia_MXN,Costo_Unit_Manufactura,lbs,Costo_Tot_Manufactura,pca1,pca2,cluster
88,825.0,585.88,4142.75,80780.87,367.86,1818.7125,50577.36,-0.8325627884152772,-0.1600983330607136,2
89,100.0,196.47,1015.0,19647.25,100.06,220.45,10006.22,-0.8554168343814852,-0.1579370008273818,2
90,9244.0,7522.459999999998,74695.77,1439469.0100000002,4812.730000000001,20378.397999999994,889135.7,-0.4621386223013991,-0.18466261382251375,2
91,6350.0,11453.429999999991,777403.3,809314.42,9847.409999999996,13998.575000000006,636388.5500000003,-0.36998456104721184,0.1886679027960827,2
92,2719.0,1016.47,20994.45,401252.45,818.9399999999999,5994.0355,322130.11,-0.7598497292545751,-0.1582293348407213,2
94,45.0,178.34,417.6,8025.27,121.64,99.2025,5473.62,-0.8569695025670968,-0.1583059432472427,2
95,7175.0,4997.800000000001,1391942.0,1391942.0,4440.070000000001,15817.2875,1199246.54,-0.3555743371837367,0.607481081742516,2
96,500.0,576.0699999999999,3790.0,72874.31,530.76,1102.25,66265.37999999999,-0.8336887398028744,-0.1612926213213167,2
97,350.0,635.96,3748.5,74508.47,359.01,771.5749999999999,41885.41,-0.8391916634998628,-0.16003550886460247,2
98,600.0,385.59000000000003,5976.0,116532.68000000001,273.18,1322.7,81955.8,-0.834102955635324,-0.15771205590113951,2
99,52475.0,3752.67,195563.75,3753178.5599999996,3020.5600000000004,115681.13769999998,3000077.56,0.31142515358046724,-0.13708226105342816,2
100,14706.0,1224.2800000000002,73548.72,1416267.4400000002,966.6700000000002,32419.3768,1117104.5699999998,-0.488068867030377,-0.14378435075350418,2
101,319820.0,1944.3099999999995,742194.3999999999,14297455.699999997,1539.6200000000008,705043.1876,11552453.3,4.865445380278121,-0.06287804816715582,3
102,447.0,867.0899999999999,6749.7,129849.27,604.75,985.4115,89344.38,-0.8257134720133048,-0.1611572444679358,2
103,54442.0,23225.219999999998,260949.22,5014903.990000002,18052.819999999974,120017.38890000008,3642758.3100000015,0.8411364737449964,-0.2731827902023672,2
104,25.0,450.4,580.0,11260.01,263.96,55.1125,6598.99,-0.8524941336575189,-0.1601699413575642,2
105,590.0,2087.75,10708.499999999998,205288.25000000003,1966.44,1300.6550000000002,193368.43,-0.7817319315781279,-0.17330019030204818,2
106,4374.0,27319.680000000008,59517.64,1145569.4800000002,11522.459999999995,9642.483000000006,659208.59,-0.28247179495159264,-0.30992037084648877,2
107,4000.0,2738.61,48943.0,938844.18,2089.14,8818.0,680897.54,-0.6529270940289686,-0.15965159053060343,2
108,10000.0,594.73,28000.0,543156.4000000001,375.5399999999999,22045.0,341447.0,-0.6695162173130021,-0.15457365451392466,2
109,28000.0,19936.88,1075740.0,20590298.0,757.1400000000001,61726.000199999995,1405890.0100000002,0.9248161989722294,0.46854026054610803,2
110,525.0,1069.4,78777.25,78777.25,690.1300000000001,1157.3625,51761.38999999999,-0.8195731240905585,-0.119481951267654,2
111,3997.0,384.86,15977.4,304006.18,303.87,8811.3865,239430.82,-0.7685660648363893,-0.1557689286967624,2
112,200.0,194.26999999999998,660.0,12914.52,135.72,440.9,9048.0,-0.854144775427555,-0.15845383369944133,2
113,2389.0,675.1800000000001,13927.869999999999,267411.2,472.8,5266.5504,188250.11,-0.7897089453054229,-0.15744957501280027,2
114,825.0,2104.82,7149.25,137471.3,1743.8300000000002,1818.7125,113671.03000000003,-0.7916497221400096,-0.17350504087248422,2
115,200.0,92.89,944.0,18577.74,61.75,440.9,12350.32,-0.855524538188145,-0.15743829784643867,2
116,150.0,594.05,2355.0,44438.54,556.68,330.67499999999995,41750.67,-0.8410207145111878,-0.1619116741494415,2
117,25.0,170.06,220.75,4251.58,130.95,55.1125,3273.78,-0.857548351845365,-0.15841938652792334,2
118,76959.0,73517.82999999999,8717095.950000001,8717095.950000001,55063.24999999991,169656.11550000013,6329434.880000005,3.378785503001119,4.28595089699203,0
119,8250.0,530.91,25162.5,486042.03,412.29,18187.125,377946.53,-0.6917478321291644,-0.15577208107207985,2
120,8975.0,406.86999999999995,177083.5,177083.5,468.11999999999995,19785.3875,434193.68,-0.6779214299679276,-0.06839287573093,2
121,1500.0,115.85,9075.0,173779.05,98.59,3306.75,147889.66,-0.8194113855347708,-0.15503258724118313,2
122,597.0,1374.68,3546.18,68332.23,941.6700000000002,1316.0865,47027.35,-0.8212338762111339,-0.16701222822201198,2
123,103247.0,1692.5200000000002,408853.81,7847786.0,1325.6899999999996,227608.00749999998,6202570.010000001,1.3796784720465782,-0.054005843755598346,3
124,872.0,14033.7,18201.530000000002,350185.3,9264.550000000001,1922.3239999999992,230216.93000000005,-0.557176437791249,-0.2619844149186188,2
125,7475.0,4493.150000000001,959711.55,959711.55,4544.7800000000025,16478.637499999997,1023069.5800000001,-0.43581188973560286,0.3520036996446735,2
126,2700.0,6123.71,27628.75,534067.92,3609.7299999999996,5952.15,305628.62999999995,-0.6687531324465564,-0.19112859960219927,2
127,138894.0,1599.43,257955.02000000016,4961870.419999999,1477.6899999999996,306191.82300000003,4715733.339999999,1.5514889822848137,-0.16484927993578874,3
128,42800.0,1722.6399999999999,145592.5,2816006.88,1406.1900000000005,94352.59969999999,2167440.98,0.03282727897309574,-0.13436418944966577,2
129,13275.0,1850.9100000000005,720268.5,720268.5,1692.2599999999998,29264.7375,625867.3200000001,-0.4949200635422647,0.23805612749904972,2
130,26146.0,11971.520000000004,2760574.89,2760574.89,8086.95999999999,57638.85699999997,1866259.9399999985,0.26016467070630017,1.3538129382596804,2
131,698.0,1074.7000000000003,8293.380000000001,127400.76000000001,895.7900000000001,1538.741,102714.25,-0.8155886067535292,-0.16325702148513455,2
132,3979.0,12436.569999999992,47711.0,915035.31,8641.820000000003,8771.705500000004,962987.4499999997,-0.4531900218740926,-0.24412948877117624,2
133,184905.0,6635.119999999999,686149.6,13236021.57,4816.519999999997,407623.0725,9796241.060000002,3.071040185113102,-0.01468542927426841,3
134,1000.0,252.0,50400.0,50400.0,203.55,2204.5,40712.600000000006,-0.8331034158444408,-0.1303969486695373,2
135,1423.0,3454.9300000000003,12850.98,245836.70000000004,2568.4700000000003,3137.0034999999993,188517.5,-0.7486003350952056,-0.18159673936293208,2
137,352.0,594.8199999999999,1573.3700000000001,30283.61,414.4,775.9839999999999,20839.8,-0.8428536888056116,-0.1614335126697327,2
138,46.0,531.31,1288.0,24440.44,356.45,101.407,16396.88,-0.848725473724367,-0.16072975308505988,2
139,104946.0,3709.370000000001,383252.2,7390465.24,3297.75,231353.45820000002,6383334.039999999,1.4353568451064482,-0.09591689006903674,3
140,48000.0,3278.6299999999997,14335860.0,14335860.0,658.48,105816.0002,2859892.87,2.2225817483171997,8.346940997177011,0
141,7062.0,5792.04,60748.58,1169221.73,2067.08,15568.179000000002,489035.32000000007,-0.5891161897054509,-0.16314123214660695,2
142,200.0,162.71,1700.0,32541.74,134.71,440.9,26942.7,-0.8519687989338015,-0.15785604170036546,2
143,150.0,154.43,1185.0,23164.14,77.26,330.675,11589.62,-0.8551761735043164,-0.1575667688177508,2
144,55600.0,3045.3499999999995,280373.75,5403208.850000001,2420.1600000000003,122570.2002,4485576.05,0.5425993965099655,-0.0952351734851049,2
145,11979.0,1641.6100000000001,172976.76,3278336.3400000003,891.8399999999999,26407.7051,1888455.98,-0.3563558637634835,-0.08498269832519113,2
146,3500.0,762.96,19890.0,381038.98,480.0200000000001,7715.75,240176.66,-0.7645956829018907,-0.15527381681820251,2
147,1124.0,3130.0899999999992,10992.48,212162.71,1928.5400000000002,2477.858,126042.32999999999,-0.7708440644260796,-0.17652118929518468,2
148,4445.0,1888.96,30061.0,585527.63,4163.5700000000015,9799.0025,1260911.5,-0.6009026635238763,-0.19087085092980385,2
150,25.0,82.09,2052.25,2052.25,33.99,55.1125,849.86,-0.8597925833798277,-0.15635790467067454,2
151,21075.0,723.63,78141.25,1504198.26,583.12,46459.8375,1245654.79,-0.40341969592931953,-0.14283295558199677,2
152,5650.0,1565.18,17783.0,344812.67999999993,1235.29,12455.425,275278.1,-0.7192415626939089,-0.16671907506154954,2
153,3265.0,563.84,254404.0,254404.0,475.77000000000004,7197.692500000001,219588.18,-0.7525731028045857,-0.015280810887689875,2
154,8920.0,16006.140000000003,1755670.25,1755670.25,10608.02,19664.139999999992,1313668.8699999994,-0.08238049264550919,0.7401976859871565,2
155,3375.0,10011.619999999999,60445.0,1160469.84,8152.229999999998,7440.187499999999,935536.6299999999,-0.47851011679653654,-0.2214758743615786,2
156,6225.0,3343.4300000000003,45274.75,875262.5800000001,2286.1499999999996,13723.012499999999,601408.4900000001,-0.6265828290732437,-0.16633807568061176,2
